"id";"NB";"COUT";"ANNEE"
162741;1;597,26;2018
163088;1;6279;2018
163528;1;3785,69;2016
163792;1;8917,79;2017
163852;1;212,95;2017
163875;1;1714,76;2017
163949;1;350,89;2018
164161;1;4156,59;2016
164270;1;24,52;2017
164290;1;652,49;2018
164892;1;1023,9;2016
165114;1;1124,51;2016
165320;1;1023,8;2018
165435;1;2904,09;2017
165438;1;23472,51;2018
165586;1;258,68;2018
165765;1;1005,53;2017
166453;1;24,52;2017
166534;1;432,78;2016
166539;2;647,72;2018
166797;1;455,24;2018
167118;1;340,59;2017
167432;1;1117,53;2017
167538;1;132,84;2017
167555;1;337,2;2017
167598;1;1327,21;2018
167638;1;5556,47;2017
167868;1;235,35;2017
168136;1;24,21;2016
168378;1;142,44;2016
168595;1;524,92;2017
168930;1;3762,68;2017
168996;1;6285,78;2016
169039;1;536,45;2017
169572;1;857,31;2017
169651;1;4542,25;2017
169896;1;2773,65;2017
169929;1;2524,86;2017
169996;1;4879,12;2018
170038;1;231,08;2018
170063;1;915,67;2018
170670;1;353,08;2016
170934;1;627,1;2016
171182;1;436,53;2018
171239;1;106,52;2018
171244;1;101,44;2018
171425;1;1343,08;2017
171469;1;2606,29;2017
171588;1;349,7;2018
171607;1;402,16;2017
171797;1;83,18;2018
172028;1;1911,13;2017
173031;1;2283,9;2016
173482;1;202,12;2017
173527;1;1703,07;2018
173572;1;6286,6;2017
173725;1;82,58;2018
173809;1;2925,41;2017
173819;1;1828,09;2017
173934;1;1552,5;2018
174230;1;4380,09;2018
174423;1;24,52;2017
174527;1;6133,97;2017
174711;1;286,44;2017
174732;1;12249,83;2016
174740;1;592,13;2016
174782;1;941,8;2018
175388;1;626,42;2018
175628;1;24,52;2017
175743;1;487,94;2018
175914;1;105,92;2016
175923;1;482,09;2016
176186;1;1149,55;2017
176261;1;1017,89;2016
176347;1;2946,92;2017
176368;1;1504,49;2018
176434;1;687,55;2018
176535;1;53,95;2017
176562;1;2959,77;2016
176834;1;575,78;2017
177182;1;390,22;2018
177238;1;1864,69;2016
177324;1;301,63;2016
177623;1;381,25;2016
177663;1;305,01;2017
177749;1;2533,5;2016
178014;1;2833,33;2018
178411;1;682,37;2017
178424;1;585,37;2018
178614;1;587,55;2017
178710;1;107,29;2017
178745;1;1347,99;2018
178950;1;1447,92;2018
179189;1;1705,19;2018
179466;1;267,7;2018
179575;1;1376,83;2016
179669;1;483,58;2018
180099;1;1147,25;2018
180489;1;24,21;2016
180562;1;85,75;2016
180617;1;2200,47;2018
181119;1;2419,19;2018
181260;1;1450,65;2018
181289;1;54,48;2016
181485;1;412,88;2018
181534;2;442,32;2016
182029;1;3552,25;2017
182078;1;280,37;2016
182665;1;1215,79;2017
182714;1;24,21;2016
182923;1;847,49;2017
183173;1;1393,17;2017
183432;1;71,82;2018
183535;1;132,89;2018
183578;1;214;2018
183936;1;163,43;2016
183962;1;24,52;2017
184265;1;147,09;2018
184315;1;1196,04;2017
184339;1;504,63;2018
185285;1;1268,57;2017
185485;1;415,59;2016
185501;1;1787,56;2018
185630;1;9108,08;2017
185667;1;1365,2;2016
186034;1;1676,44;2016
186049;1;2946,24;2016
186188;1;840,75;2017
186650;1;1311,56;2017
186704;1;1247,95;2016
186853;1;118,53;2017
186890;1;4886,97;2017
186918;1;182,29;2017
187095;1;463,21;2016
187230;1;24,52;2017
187553;1;464,25;2016
187949;1;575,18;2017
188403;1;177,53;2018
188763;1;153,6;2017
188870;1;241,71;2016
188961;1;278,31;2016
188970;1;1150,78;2018
189133;1;226,98;2016
189671;1;1850,15;2016
189870;1;1071,79;2016
190435;1;7094,38;2018
190439;1;605,12;2017
190850;1;509,25;2018
190933;1;1104,95;2016
191255;1;317,77;2016
191415;1;174,48;2018
192104;1;552,11;2017
192134;1;1797,57;2018
192157;2;2352,02;2017
192186;1;50,72;2018
192632;1;4185,24;2016
192845;1;800,97;2016
192884;3;2582,78;2017
192900;1;1746,19;2016
192922;1;167,38;2018
192934;1;1715,02;2017
193057;1;159,27;2018
193904;1;475,47;2017
194132;1;13337,92;2016
194240;1;992,12;2018
194452;1;329,77;2018
194808;1;776,91;2017
194825;1;57,11;2018
194845;1;52,42;2016
195095;1;102,86;2018
195206;1;659,82;2017
195564;1;220,13;2018
195625;1;680,95;2016
195765;1;24,21;2016
195876;1;74,65;2016
196001;1;3687,6;2018
196512;1;455,21;2016
196666;1;605,84;2017
196751;1;1400,22;2017
196835;1;325,64;2016
197246;1;341,99;2016
197509;1;301,63;2016
197523;1;11490,5;2017
197657;1;559,48;2016
197716;1;150,92;2016
197877;1;399,91;2017
198441;1;164,44;2016
198704;1;209,75;2016
198744;1;8460,75;2018
199116;1;33089,12;2017
199379;1;24,52;2017
199457;1;488,35;2018
199664;1;386,86;2017
199694;1;347,64;2017
199828;1;563,01;2018
200149;1;53,95;2017
200513;1;24,21;2016
200537;1;913,63;2016
200647;1;1563,71;2017
200724;1;1848,47;2017
200776;1;4908,99;2018
201043;1;143,05;2017
201193;1;5300,41;2017
201400;1;57,51;2017
201709;1;3056,87;2017
202297;1;438,36;2017
202608;1;233,32;2018
203307;1;53,39;2016
203401;1;888,56;2016
203812;1;1049,16;2016
204108;1;1995,61;2017
204129;2;5771,19;2016
204169;1;8431,34;2016
204320;1;962,83;2016
204443;1;2153,49;2018
204578;1;114;2016
204617;1;11794,59;2018
204810;1;6051;2017
204930;1;3027,56;2018
204941;1;1257,13;2017
205452;1;497,07;2018
205713;1;3962,57;2018
206335;1;834,24;2016
206570;1;333,93;2017
206598;1;400,5;2016
206770;1;2702,98;2017
206890;1;1470,77;2016
207347;1;324,23;2016
207465;1;4862,45;2016
207520;1;3902,02;2017
207534;1;539,71;2016
207548;1;4887,03;2017
208161;1;1132,58;2017
208659;1;2044,05;2018
208885;1;1681,89;2017
209071;1;4519,74;2016
209277;1;804,58;2018
209471;1;375,21;2017
209541;1;363,65;2018
209582;1;82,09;2018
209693;1;695,16;2017
209848;1;709,19;2016
209856;1;1794,67;2016
209945;1;1345,95;2016
210645;1;127,73;2017
210692;1;239,58;2017
210819;1;1094,16;2018
210900;1;877,18;2016
211141;1;1472,15;2017
211152;1;1051,24;2016
211262;1;416,24;2018
211791;1;7339,95;2017
211811;1;370,27;2018
211823;1;175,98;2017
